"",2738
the,1642
and,872
to,729
a,632
it,595
she,553
i,545
of,514
said,462
you,411
alice,398
in,369
was,357
that,315
as,263
her,248
t,218
at,212
s,201
on,193
all,182
with,180
had,178
but,170
for,153
they,152
so,151
be,148
not,145
very,144
what,141
this,134
little,128
he,125
out,117
is,108
one,104
down,102
up,100
there,99
if,96
his,96
about,94
then,94
no,90
them,88
know,88
like,85
were,85
again,83
herself,83
would,83
went,83
do,81
have,80
when,79
could,77
or,77
queen,75
thought,74
off,73
time,71
how,68
me,68
into,67
see,67
did,63
who,63
can,63
m,63
king,63
well,63
your,62
don,61
now,60
by,59
turtle,59
my,58
began,58
its,57
ll,57
an,57
hatter,56
way,56
mock,56
quite,55
gryphon,55
are,54
think,53
their,52
just,52
some,51
say,51
rabbit,51
much,51
here,51
first,51
head,50
go,50
only,50
more,49
thing,49
which,49
never,48
voice,48
get,46
come,46
got,45
oh,45
looked,45
must,44
ve,44
mouse,44
him,43
after,43
duchess,42
such,41
round,41
two,40
dormouse,40
other,40
over,40
why,40
tone,40
came,40
back,39
great,39
any,39
re,38
been,38
before,38
cat,37
from,36
nothing,34
once,34
march,34
we,34
will,33
large,33
last,33
tell,32
long,32
looking,32
found,32
right,32
put,31
hare,31
things,31
moment,31
door,30
next,30
white,30
made,30
heard,30
day,29
replied,29
eyes,29
d,29
dear,29
look,29
three,28
caterpillar,28
might,28
seemed,27
should,27
going,27
poor,27
make,27
good,27
too,26
course,26
without,26
upon,26
won,26
rather,25
soon,25
while,25
away,25
yet,25
shall,25
sure,24
same,24
than,24
took,24
felt,23
half,23
added,23
take,22
jury,22
getting,22
let,22
another,22
hand,21
words,21
wish,21
find,21
till,21
ever,21
minute,21
however,20
anything,20
sort,20
cried,20
even,19
tried,19
please,19
old,19
curious,19
feet,19
tea,19
being,19
eat,18
table,18
soup,18
enough,18
use,18
wonder,18
something,18
house,18
court,18
talking,17
perhaps,17
end,17
sat,17
bill,17
question,17
spoke,17
side,17
asked,17
turned,16
under,16
bit,16
indeed,16
garden,16
doesn,16
high,16
hastily,16
am,16
ran,16
seen,15
low,15
because,15
face,15
speak,15
saying,15
arm,15
done,15
where,15
idea,15
near,15
air,15
gave,15
called,15
mad,15
us,14
trying,14
set,14
sea,14
dinah,14
everything,14
saw,14
hear,14
itself,14
ought,14
these,14
left,14
both,14
anxiously,14
beginning,14
certainly,14
footman,14
remember,14
knew,14
silence,14
talk,14
didn,14
better,14
through,14
baby,14
change,14
suppose,14
still,13
cook,13
grow,13
used,13
always,13
wouldn,13
dance,13
kept,13
may,13
close,13
dodo,13
people,13
far,13
room,13
whole,13
really,13
gone,13
yes,13
cats,13
begin,13
game,13
suddenly,13
behind,13
size,13
beautiful,13
among,12
afraid,12
deal,12
else,12
turning,12
life,12
chapter,12
queer,12
hands,12
every,12
majesty,12
finished,12
try,12
hardly,12
best,12
give,12
many,12
pigeon,12
hurry,11
whether,11
growing,11
wasn,11
read,11
pool,11
glad,11
turn,11
makes,11
nearly,11
minutes,11
ask,11
tears,11
child,11
gloves,11
hurried,11
pig,11
waited,11
thinking,11
though,11
mind,11
book,11
keep,11
those,10
conversation,10
explain,10
soldiers,10
yourself,10
name,10
trial,10
sitting,10
own,10
lessons,10
repeated,10
mouth,10
remark,10
mine,10
heads,10
sight,10
having,10
glass,10
foot,10
party,10
birds,10
offended,10
rest,10
mean,10
box,10
word,10
bottle,10
small,10
children,10
fan,10
witness,10
either,10
opened,10
creatures,10
hold,10
remarked,10
walked,10
few,9
leave,9
knave,9
continued,9
puzzled,9
serpent,9
rate,9
interrupted,9
answer,9
tail,9
reason,9
croquet,9
different,9
angrily,9
does,9
want,9
together,9
coming,9
hall,9
couldn,9
against,9
call,9
help,9
matter,9
join,9
key,9
waiting,9
least,9
butter,9
shook,9
sister,9
believe,9
shouted,9
timidly,9
watch,8
ready,8
happen,8
fact,8
eagerly,8
hadn,8
exactly,8
opportunity,8
sit,8
everybody,8
top,8
four,8
pepper,8
dry,8
story,8
appeared,8
tree,8
william,8
each,8
ground,8
beg,8
moral,8
live,8
slowly,8
our,8
window,8
gardeners,8
feel,8
followed,8
hard,8
work,8
nose,8
hearts,8
mushroom,8
slates,8
noticed,8
nobody,8
running,8
haven,8
asleep,8
twinkle,8
whiting,8
most,8
play,8
five,8
wood,8
fish,8
meaning,8
lying,8
seem,8
distance,8
place,8
changed,8
making,8
bright,8
begun,7
cheshire,7
wondering,7
fancy,7
surprised,7
chin,7
shoes,7
oop,7
hot,7
adventures,7
lobsters,7
kind,7
puppy,7
myself,7
evidence,7
happened,7
lory,7
silent,7
eye,7
hair,7
golden,7
frightened,7
treacle,7
fetch,7
others,7
somebody,7
history,7
pocket,7
stood,7
bread,7
neck,7
grown,7
isn,7
trees,7
dream,7
fall,7
generally,7
important,7
goes,7
middle,7
tarts,7
pleased,7
world,7
song,7
soo,7
sir,7
deep,7
feeling,7
larger,7
listen,7
draw,7
hedgehog,7
drink,7
nonsense,7
business,7
learn,7
repeat,7
has,7
tired,7
open,7
lobster,7
manage,7
subject,6
father,6
exclaimed,6
sneezing,6
jumped,6
along,6
stand,6
wow,6
seven,6
guinea,6
told,6
sing,6
race,6
pigs,6
himself,6
inches,6
liked,6
trembling,6
school,6
times,6
sharp,6
lizard,6
e,6
late,6
o,6
between,6
sentence,6
full,6
ear,6
leaves,6
youth,6
dreadfully,6
forgotten,6
melancholy,6
marked,6
chorus,6
ten,6
write,6
writing,6
fell,6
stupid,6
piece,6
pardon,6
broken,6
chimney,6
arms,6
trouble,6
loud,6
english,6
sleep,6
understand,6
nice,6
roof,6
written,6
executioner,6
politely,6
grin,6
stop,6
executed,6
almost,6
shan,6
taking,5
often,5
shut,5
impatiently,5
dropped,5
remembered,5
speaking,5
temper,5
aloud,5
asking,5
faces,5
new,5
man,5
flamingo,5
stay,5
sounded,5
drew,5
meant,5
confusion,5
knee,5
become,5
nervous,5
angry,5
shrill,5
height,5
ah,5
hole,5
sighed,5
shouldn,5
sudden,5
clock,5
water,5
notice,5
night,5
curiosity,5
ears,5
wrong,5
sleepy,5
eggs,5
seems,5
whispered,5
doing,5
sky,5
morning,5
crowded,5
shriek,5
twice,5
sometimes,5
unimportant,5
across,5
reply,5
kid,5
young,5
passed,5
nine,5
pair,5
evening,5
usual,5
surprise,5
happens,5
dare,5
moved,5
hookah,5
finish,5
waving,5
walk,5
case,5
prizes,5
rule,5
until,5
pack,5
finger,5
swam,5
walking,5
swim,5
direction,5
cut,5
instantly,5
altogether,5
home,5
interesting,5
sadly,5
procession,5
quietly,5
simple,5
number,5
strange,5
tis,5
nearer,5
means,5
likely,5
arches,4
jumping,4
beau,4
fond,4
porpoise,4
pictures,4
perfectly,4
particular,4
grunted,4
answered,4
puzzling,4
stuff,4
green,4
fallen,4
girl,4
stick,4
quadrille,4
slate,4
none,4
difficulty,4
screamed,4
mice,4
savage,4
busily,4
verse,4
tongue,4
worth,4
suppressed,4
reach,4
dish,4
tale,4
violently,4
person,4
outside,4
begins,4
alas,4
lives,4
twelve,4
doubt,4
ann,4
days,4
grass,4
sigh,4
kitchen,4
hers,4
uncomfortable,4
fast,4
mouths,4
lay,4
crumbs,4
earth,4
paper,4
french,4
master,4
miss,4
mary,4
natural,4
confused,4
otherwise,4
bowed,4
bottom,4
verdict,4
yer,4
crowd,4
duck,4
jurors,4
managed,4
capital,4
carried,4
twinkling,4
deeply,4
creature,4
catch,4
thoughtfully,4
sobs,4
